NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
CONCORD ACADEMY SUMMER CAMP,166 MAIN ST,CONCORD,MA,1742,2445.0,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
WALDEN REHABILITATION-NURSING CENTER,785 MAIN ST,CONCORD,MA,1742,3310.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,103.0,,,,Healthcare
CONCORD HEALTH CARE CENTER,57 OLD ROAD TO 9 ACRE COR,CONCORD,MA,1742,3317.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,124.0,PREMIER,,,Healthcare
MEADOW RIDGE-WALDEN STREET SCHOOL,148 WALDEN ST,CONCORD,MA,1742,3614.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ELIOT COMMUNITY HUMAN SERVICES,111 OLD ROAD TO 9 ACRE COR,CONCORD,MA,1742,4141.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
EMERSON REHAB TCU,133 OLD ROAD TO 9 ACRE COR,CONCORD,MA,1742,4159.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,17.0,,,,Healthcare
DEACONESS ABUNDANT LIFE COMMUNITY,80 DEACONESS RD,CONCORD,MA,1742,4168.0,25017,MIDDLESEX,1122.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,40.0,,,,Healthcare
MASSACHUSETTS CORRECTIONAL INSTITUTION,PO BOX 9106,CONCORD,MA,1742,9106.0,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
HOLLISTON SENIOR CENTER,150 GOULDING ST,HOLLISTON,MA,1746,2558.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CONTINUING CARE CENTER AT HOPEDALE,325 S MAIN ST,HOPEDALE,MA,1747,1546.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75.0,,,,Healthcare
SERENITY HOUSE SMOC-SUBSTANCE ABUSE SVCS,PO BOX 344,HOPKINTON,MA,1748,344.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NEXT GENERATION CHILDRENS CENTER,2 WOOD ST,HOPKINTON,MA,1748,1133.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
HOPKINTON PUBLIC SCHOOL DISTRICT,89 HAYDEN ROWE ST,HOPKINTON,MA,1748,2507.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
HOPKINTON SENIOR CENTER,18 MAIN ST,HOPKINTON,MA,1748,3209.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
JOHN F KENNEDY MIDDLE SCHOOL,201 MANNING ST,HUDSON,MA,1749,1031.0,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
HUDSON PUBLIC SCHOOLS,155 APSLEY ST,HUDSON,MA,1749,1645.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
HUDSON SENIOR CENTER,29 CHURCH ST,HUDSON,MA,1749,2105.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
ASSABET VALLEY REGIONAL VOC SCHOOL DIST,215 FITCHBURG ST,MARLBOROUGH,MA,1752,1219.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,501 TO 1000,NOT APPLICABLE,1,UNCODED,PUBLIC,501 TO 1000,,,,,Government Services
ASSABET VALLEY REG VOC-TECH HIGH SCHOOL,215 FITCHBURG ST,MARLBOROUGH,MA,1752,1219.0,25017,MIDDLESEX,1122.0,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,,Educational Instituions
MARLBOROUGH HOSPITAL,157 UNION ST,MARLBOROUGH,MA,1752,1228.0,25017,MIDDLESEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
MARLBOROUGH HILLS HEALTH CARE CENTER,121 NORTHBORO RD E,MARLBOROUGH,MA,1752,1844.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,176.0,PREMIER,,,Healthcare
MARLBOROUGH PUBLIC SCHOOL DISTRICT,17 WASHINGTON ST,MARLBOROUGH,MA,1752,2225.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
NEXT GENERATION CHILDRENS CENTER OF MARL,201 CEDAR HILL ST,MARLBOROUGH,MA,1752,3004.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
ADVOCATES COMMUNITY COUNSELING,340 MAPLE ST,MARLBOROUGH,MA,1752,3200.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
KINDERCARE LEARNING CENTER,496 BOSTON POST RD E,MARLBOROUGH,MA,1752,3624.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MARIE ESTHER HEALTH CENTER,720 BOSTON POST RD E,MARLBOROUGH,MA,1752,3766.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,29.0,,,,Healthcare
MARLBORO COUNCIL ON AGING SENIOR CTR,250 MAIN ST,MARLBOROUGH,MA,1752,3854.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BRIGHT HORIZONS AT SOLOMON PARK,150 DONALD LYNCH BLVD,MARLBOROUGH,MA,1752,4720.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MAYNARD PUBLIC SCHOOL DISTRICT,12 BANCROFT ST,MAYNARD,MA,1754,1702.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
GERIATRIC AUTHORITY OF MILFORD,1 COUNTRYSIDE DR,MILFORD,MA,1757,1252.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83.0,,,,Healthcare
EVERGREEN CENTER RESIDENTIAL CENTER,345 FORTUNE BLVD,MILFORD,MA,1757,1723.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,,Healthcare
MOTHER HUBBARD PRESCHOOL INC,76 SCHOOL ST,MILFORD,MA,1757,2060.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT ST,MILFORD,MA,1757,3003.0,25027,WORCESTER,1122.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,100.5,HPPI-HealthCare Purchasing Partners International,Amerinet Inc,"36,694",Healthcare
BLAIR HOUSE OF MILFORD,20 CLAFLIN ST,MILFORD,MA,1757,3356.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63.0,,,,Healthcare
MILFORD SENIOR CENTER,60 N BOW ST,MILFORD,MA,1757,3405.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
RIVERBEND OF SOUTH NATICK,34 LINCOLN STREET EXT,NATICK,MA,1760,5939.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,41.0,,,,Healthcare
BRANDON SCHOOL-RESIDENTIAL TREATMENT CTR,27 WINTER ST,NATICK,MA,1760,1015.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,,Healthcare
BEAUMONT REHABILITATION-SKILLED NURSING,3 VISION DR,NATICK,MA,1760,2059.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,COMPASS,PUBLIC,1001 TO 2000,51.0,,,,Healthcare
THE NEXT GENERATION CHILDRENS CENTER,15 STRATHMORE RD,NATICK,MA,1760,2418.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
CAMP MATOAKA,32 LANES END,NATICK,MA,1760,4140.0,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
NATICK PUBLIC SCHOOL DISTRICT,13 E CENTRAL ST,NATICK,MA,1760,4629.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
THE TOBIN SCHOOL,73 COTTAGE ST,NATICK,MA,1760,5838.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MARY ANN MORSE NURSING AND REHAB,45 UNION ST,NATICK,MA,1760,6056.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,109.0,,,,Healthcare
METROWEST MEDICAL CENTER-TCU,67 UNION ST,NATICK,MA,1760,7700.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
PINE HILL ELEMENTARY SCHOOL,10 PINE HILL LN,SHERBORN,MA,1770,1541.0,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
SOUTHBOROUGH COUNCIL ON AGING SENIOR CTR,9 CORDAVILLE RD,SOUTHBOROUGH,MA,1772,1615.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NEW ENGLAND CENTER FOR CHILDREN,33 TURNPIKE RD,SOUTHBOROUGH,MA,1772,2108.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LINCOLN PUBLIC SCHOOL DISTRICT,6 BALLFIELD RD,LINCOLN,MA,1773,3211.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
CAMP SEWATARO,1 LIBERTY LEDGE,SUDBURY,MA,1776,1398.0,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
CAMP BAUERCREST,20 NORMANDY DR,SUDBURY,MA,1776,2122.0,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
WINGATE AT SUDBURY REHAB-NURSING FAC,136 BOSTON POST RD,SUDBURY,MA,1776,2406.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125.0,,,,Healthcare
NEXT GENERATION CHILDRENS CENTER OF SUDB,307 BOSTON POST RD,SUDBURY,MA,1776,3001.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SUDBURY PINES EXTENDED CARE FACILITY,642 BOSTON POST RD,SUDBURY,MA,1776,3302.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83.0,,,,Healthcare
FAIRBANK SENIOR CENTER,40 FAIRBANK RD,SUDBURY,MA,1776,5606.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
SUDBURY PUBLIC SCHOOL DISTRICT,40 FAIRBANK RD,SUDBURY,MA,1776,5606.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
WAYLAND PUBLIC SCHOOL DISTRICT,PO BOX 408,WAYLAND,MA,1778,408.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
WAYLAND COA SENIOR CITIZENS CENTER,41 COCHITUATE RD,WAYLAND,MA,1778,2614.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WAYLAND NURSING AND REHAB CENTER,188 COMMONWEALTH RD,WAYLAND,MA,1778,5027.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,39.0,,,,Healthcare
WOBURN NURSING CENTER,PO BOX 272,WOBURN,MA,1801,472.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,136.0,,,,Healthcare
ITT TECHNICAL INSTITUTE,10 FORBES RD,WOBURN,MA,1801,2103.0,25017,MIDDLESEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
WOBURN PUBLIC SCHOOL DISTRICT,55 LOCUST ST,WOBURN,MA,1801,3814.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
NEW ENGLAND REHAB HOSPITAL,2 REHABILITATION WAY,WOBURN,MA,1801,6003.0,25017,MIDDLESEX,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,110.8,MedAssets Supply Chain Systems,RPI - Radiology Partners Inc,"40,431",Healthcare
CAB HEALTH AND RECOVERY SERVICES-AODA,800 W CUMMINGS PARK,WOBURN,MA,1801,6372.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ARBOUR COUNSELING SERVICES-SBSTNC ABUSE,500 W CUMMINGS PARK,WOBURN,MA,1801,6500.0,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
COOPERATIVE ELDER/ADULT DC-BURLINGTON,37 B ST,BURLINGTON,MA,1803,3406.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,,Healthcare
KINDER CARE LEARNING CENTER,133 CAMBRIDGE ST,BURLINGTON,MA,1803,3711.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
TENDER LEARNING CENTRE AND KIDS CLUB,87 2ND AVE,BURLINGTON,MA,1803,4413.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SHAWSHEEN SCHOOL,18 MAGNOLIA AVE,ANDOVER,MA,1810,2552.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
MASSACHUSETTS SCHOOL LAW-ANDOVER,500 FEDERAL ST,ANDOVER,MA,1810,1017.0,25009,ESSEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
GREATER LAWRENCE REGIONAL VOC DISTRICT,57 RIVER RD,ANDOVER,MA,1810,1144.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
GREATER LAWRENCE TECHNICAL HIGH SCHOOL,57 RIVER RD,ANDOVER,MA,1810,1144.0,25009,ESSEX,1122.0,SECONDARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,,,,,Educational Instituions
ACADEMY MANOR GENISIS ELDERCARE,89 MORTON ST,ANDOVER,MA,1810,2036.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,153.0,,,,Healthcare
SHAWSHEEN EXTENDED DAY,65 PHILLIPS ST,ANDOVER,MA,1810,4032.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
ISHAM HEALTH CENTER,180 MAIN ST,ANDOVER,MA,1810,4166.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Healthcare
HENRY C SANBORN ELEMENTARY SCHOOL,84 LOVEJOY RD,ANDOVER,MA,1810,4529.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
WINGATE AT ANDOVER REHAB-SNF,80 ANDOVER ST,ANDOVER,MA,1810,5606.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128.0,,,,Healthcare
NEXT GENERATION CHILDRENS CENTER,516 S MAIN ST,ANDOVER,MA,1810,6221.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
BILLERICA HOUSE OF CORR-SHERIFF DEPT,PO BOX 565,BILLERICA,MA,1821,565.0,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
BILLERICA PUBLIC SCHOOLS,365 BOSTON RD,BILLERICA,MA,1821,8800.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,501-750,OVER 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
SHAWSHEEN VALLEY REGIONAL VOC TECH DIST,100 COOK ST,BILLERICA,MA,1821,5421.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
CASTLE HILL ADULT DAY-HEALTH CARE,PO BOX 404,CHELMSFORD,MA,1824,404.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,,Healthcare
PALM MANOR-GENISIS ELDERCARE,40 PARKHURST RD,CHELMSFORD,MA,1824,1513.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,113.0,,,,Healthcare
MERRIMAC SPECIAL EDUCATION COLLABORATIVE,114 TURNPIKE RD,CHELMSFORD,MA,1824,3571.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,PUBLIC,51 TO 100,,,,,Government Services
KLUB KID TOO,160 TURNPIKE RD,CHELMSFORD,MA,1824,4058.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
KNOWLEDGE BEGINNINGS-BILLERICA RD,261 BILLERICA RD,CHELMSFORD,MA,1824,4113.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SUNNY ACRES NURSING REHAB CENTER,254 BILLERICA RD,CHELMSFORD,MA,1824,4114.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90.0,,,,Healthcare
DRACUT COUNCIL ON AGING SENIOR CENTER,951 MAMMOTH RD,DRACUT,MA,1826,3116.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LITTLE ANGELS DAYCARE-LA ADVENTURE CLUB,90 ARLINGTON ST,DRACUT,MA,1826,4009.0,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
WINGATE AT HAVERHILL,190 NORTH AVE,HAVERHILL,MA,1830,2238.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,118.0,,,,Healthcare
